event_key,formation_date,action_date,selection_as_of,ts_code,name,trade_date,trading_day_number,is_action_date,data_status,open,high,low,close,pre_close,pct_chg_percent,volume_shares,amount_cny,adj_factor,entry_open_raw,entry_open_adjusted,open_return_since_entry,high_return_since_entry,low_return_since_entry,close_return_since_entry,max_close_return_so_far,max_high_return_so_far,mae_since_entry,close_drawdown_from_peak,available_at,availability_precision,quality_status,price_basis
formal:2026-08-19:600408.SH:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,600408.SH,安泰集团,2026-08-27,6,False,available,2.95,3.06,2.93,3.04,2.96,2.7027,61595202.0,186029333.0,4.214,2.85,12.009900000000002,0.03508771929824572,0.0736842105263158,0.02807017543859658,0.06666666666666665,0.06666666666666665,0.0736842105263158,-0.05263157894736836,0.0,2026-08-27T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:600408.SH:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,600408.SH,安泰集团,2026-08-28,7,False,available,3.06,3.12,3.02,3.09,3.04,1.6447,52260100.0,161172579.0,4.214,2.85,12.009900000000002,0.0736842105263158,0.09473684210526301,0.05964912280701751,0.08421052631578929,0.08421052631578929,0.09473684210526301,-0.05263157894736836,0.0,2026-08-28T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:600408.SH:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,600408.SH,安泰集团,2026-08-31,8,False,available,3.12,3.14,3.06,3.1,3.09,0.3236,54848102.0,170310185.0,4.214,2.85,12.009900000000002,0.09473684210526301,0.10175438596491237,0.0736842105263158,0.08771929824561409,0.08771929824561409,0.10175438596491237,-0.05263157894736836,0.0,2026-08-31T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:002508.SZ:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,002508.SZ,老板电器,2026-08-20,1,True,available,16.43,16.55,16.07,16.34,16.43,-0.5478,10899475.0,177705727.4,8.2167,16.43,135.00038099999998,0.0,0.0073037127206330155,-0.021911138161898935,-0.005477784540474651,-0.005477784540474651,0.0073037127206330155,-0.021911138161898935,0.0,2026-08-20T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:002508.SZ:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,002508.SZ,老板电器,2026-08-21,2,False,available,16.3,16.33,16.03,16.18,16.34,-0.9792,6097365.0,98505372.31,8.2167,16.43,135.00038099999998,-0.007912355447352248,-0.0060864272671942166,-0.02434570906877631,-0.015216068167985264,-0.005477784540474651,0.0073037127206330155,-0.02434570906877631,-0.009791921664626613,2026-08-21T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:002508.SZ:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,002508.SZ,老板电器,2026-08-24,3,False,available,16.15,16.65,16.08,16.57,16.18,2.4104,13132867.000000002,216980526.82,8.2167,16.43,135.00038099999998,-0.01704199634814374,0.013390139987827121,-0.02130249543517959,0.008520998174071925,0.008520998174071925,0.013390139987827121,-0.02434570906877631,0.0,2026-08-24T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:002508.SZ:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,002508.SZ,老板电器,2026-08-25,4,False,available,16.43,16.72,16.43,16.56,16.57,-0.0604,6914208.0,114733558.04,8.2167,16.43,135.00038099999998,0.0,0.017650639074863195,0.0,0.00791235544735236,0.008520998174071925,0.017650639074863195,-0.02434570906877631,-0.0006035003017502705,2026-08-25T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:002508.SZ:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,002508.SZ,老板电器,2026-08-26,5,False,available,16.51,16.72,16.45,16.5,16.56,-0.3623,5024016.0,83444225.34,8.2167,16.43,135.00038099999998,0.004869141813755418,0.017650639074863195,0.00121728545343891,0.004260499087036074,0.008520998174071925,0.017650639074863195,-0.02434570906877631,-0.004224502112251005,2026-08-26T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:002508.SZ:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,002508.SZ,老板电器,2026-08-27,6,False,available,16.43,16.51,16.22,16.3,16.5,-1.2121,7784360.000000001,126993417.28,8.2167,16.43,135.00038099999998,0.0,0.004869141813755418,-0.012781497261107666,-0.007912355447352248,0.008520998174071925,0.017650639074863195,-0.02434570906877631,-0.016294508147253972,2026-08-27T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:002508.SZ:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,002508.SZ,老板电器,2026-08-28,7,False,available,16.27,16.38,15.86,16.06,16.3,-1.4724,10621500.0,170268410.69,8.2167,16.43,135.00038099999998,-0.009738283627510613,-0.0030432136335970528,-0.0346926354230066,-0.02251978088861839,0.008520998174071925,0.017650639074863195,-0.0346926354230066,-0.0307785153892578,2026-08-28T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
